ds,yhat,yhat_lower,yhat_upper
2019-12-16,123.8159829727665,108.16133571319683,138.61240343984545
2019-12-20,124.2432171534682,109.09410339929158,138.12283299975752
2019-12-21,125.3200304553566,110.87008255755977,140.43771021348738
2019-12-24,125.6199755917244,110.37569234972314,141.29544364459124
2019-12-25,126.1727828688423,109.75723629741282,141.0865400191561
2019-12-27,124.28780800480607,109.29961961401506,139.76411917825757
2019-12-28,125.3646213067046,110.28118409895517,141.66577358827186
2019-12-29,126.42352672124086,111.0077130559708,141.75514793761369
2019-12-30,123.90516467544897,108.76123454227772,140.40541565357003
2019-12-31,125.66456644306757,109.73272918214313,141.35078072174656
